X,Y,fid,icon_url
10.1904208565803,6.29769635039076,"3",./0.png
38.050050289551,11.5833394798412,"4",./0.png
34.7222085465354,0.076240391761697,"5",./0.png
37.7883050781942,-2.15774992647931,"6",./0.png
36.9564549440657,-0.342956720514383,"7",./0.png
36.9269024859384,-0.732309645484949,"8",./0.png
37.6824922687493,-3.77278996566727,"9",./0.png
34.7198551302044,-9.43007177532766,"10",./0.png
33.9811266262296,3.03454089075256,"11",./0.png
31.7690395665455,3.22812760093406,"12",./0.png
34.5740427944729,1.4313367341053,"13",./0.png
22.7748069018274,-19.6132787789473,"14",./0.png
31.9041246587204,-13.5744905907198,"15",./0.png
32.396946561563,-19.0640154712102,"16",./0.png
31.1963401113138,-16.7049324574908,"17",./0.png
31.2384624641218,-20.7893447785282,"18",./0.png
29.456857558677,-18.9766493889854,"19",./0.png
1.79496239554851,9.34768747199296,"20",./0.png
-1.59886485251283,12.3924881601221,"21",./0.png
-1.14247568209715,12.4492616074716,"22",./0.png
5.24156048061885,15.7552684267209,"23",./0.png
-16.7522093778175,14.8295983667613,"24",./0.png
-16.246028172213,14.2163341517029,"25",./0.png
1.13306592780812,7.44850539290827,"26",./0.png
37.5131543365634,-1.41769967738624,"27",./0.png
-2.13612782683362,13.5594065109844,"28",./0.png
-0.974668088384491,13.2684036869329,"29",./0.png
33.6864010273526,2.10650450859633,"30",./0.png
